time,elevator_1,elevator_2,elevator_3,elevator_4
0,1,1,1,1
1,1,1,1,1
2,1,1,1,1
3,2,1,1,1
4,3,2,1,1
5,4,3,1,1
6,5,4,1,1
7,6,5,2,1
8,7,6,2,1
9,8,7,2,1
10,9,8,2,2
11,10,8,2,3
12,11,8,2,4
13,12,8,1,5
14,13,8,1,6
15,14,8,2,7
16,15,8,3,8
17,16,8,4,9
18,17,7,5,10
19,17,6,6,11
20,16,5,7,12
21,15,5,8,12
22,15,4,9,12
23,14,3,10,12
24,13,2,11,12
25,12,1,12,12
26,11,1,13,12
27,10,2,14,12
28,9,3,15,12
29,8,3,15,12
30,7,4,16,12
31,6,5,17,12
32,5,6,17,12
33,4,7,17,12
34,3,8,17,12
35,2,9,17,12
36,1,10,17,12
37,1,11,17,12
38,2,12,17,12
39,3,13,17,12
40,4,13,17,11
41,5,14,17,10
42,6,15,17,9
43,7,16,17,8
44,8,17,18,7
45,9,17,18,6
46,10,18,17,5
47,11,18,16,4
48,12,19,15,3
49,13,19,14,2
50,14,19,13,1
51,15,19,12,1
52,16,19,11,2
53,17,19,10,3
54,17,19,9,4
55,18,19,8,5
56,19,19,7,6
57,20,19,6,7
58,20,19,5,8
59,20,19,4,9
60,20,19,3,10
61,20,19,2,10
62,20,18,1,11
63,20,17,1,12
64,20,16,1,13
65,20,16,2,13
66,20,15,3,14
67,20,14,4,15
68,20,13,5,15
69,20,12,6,16
70,20,11,7,17
71,20,10,7,18
72,20,9,8,19
73,20,8,9,19
74,20,7,10,19
75,20,6,10,19
76,20,5,9,19
77,20,4,9,19
78,20,3,8,19
79,20,2,7,19
80,20,1,6,19
81,20,1,5,19
82,20,2,4,19
83,20,2,3,19
84,20,3,2,19
85,20,3,2,19
86,20,4,2,19
87,20,5,1,19
88,20,6,1,19
89,20,7,2,19
90,20,8,3,18
91,20,9,4,17
92,20,10,5,16
93,20,11,6,15
94,20,11,7,14
95,20,12,8,13
96,20,13,9,12
97,20,14,10,11
98,20,15,11,10
99,20,15,12,9
100,20,16,13,8
101,19,17,14,7
102,19,17,15,6
103,18,18,16,5
104,17,18,17,4
105,16,19,18,3
106,15,20,19,2
107,14,20,20,1
108,13,20,20,1
109,12,20,20,2
110,11,20,20,3
111,10,20,20,3
112,9,20,20,4
113,8,20,20,5
114,7,20,20,5
115,6,20,20,6
116,5,20,20,7
117,4,20,20,8
118,3,20,20,9
119,2,19,20,10
120,1,18,20,11
121,1,17,20,12
122,2,16,20,12
123,3,15,20,13
124,3,14,20,13
125,4,13,20,14
126,5,12,19,14
127,5,11,18,15
128,6,10,17,16
129,7,9,16,17
130,8,8,15,18
131,9,7,14,19
132,9,6,14,19
133,10,5,13,20
134,11,4,12,20
135,12,3,11,20
136,13,2,10,20
137,13,1,9,20
138,14,1,8,20
139,15,2,7,20
140,16,3,6,20
141,17,4,5,20
142,18,4,4,19
143,19,5,3,18
144,19,6,2,17
145,20,7,1,17
146,20,8,1,16
147,20,9,1,15
148,20,10,1,14
149,20,11,1,13
150,20,12,1,12
151,20,13,1,11
152,20,14,2,10
153,20,15,3,9
154,20,16,4,9
155,20,16,5,8
156,20,17,6,7
157,20,18,7,6
158,20,19,8,5
159,20,19,9,4
160,20,20,10,3
161,20,20,11,2
162,20,20,12,1
163,20,20,12,1
164,20,20,12,1
165,20,20,12,1
166,20,20,12,1
167,20,20,12,2
168,20,20,12,3
169,20,20,12,4
170,20,20,12,5
171,20,20,12,6
172,20,20,12,6
173,20,20,12,5
174,20,20,12,4
175,20,20,12,3
176,20,20,12,2
177,20,20,12,1
178,20,20,12,1
179,20,20,12,2
180,20,20,12,3
181,20,20,12,4
182,20,20,11,5
183,20,20,10,6
184,20,20,9,7
185,20,20,8,7
186,20,20,7,8
187,20,20,6,9
188,20,20,5,10
189,20,20,4,11
190,20,20,3,11
191,20,20,2,12
192,20,20,1,13
193,20,20,1,14
194,20,20,2,15
195,20,20,3,16
196,20,20,4,17
197,19,20,5,18
198,18,20,6,19
199,17,20,7,19
200,16,20,8,19
201,15,20,9,19
202,14,20,10,19
203,13,20,11,19
204,12,20,12,19
205,11,20,13,19
206,10,20,14,19
207,9,20,15,18
208,8,20,16,18
209,7,20,16,17
210,6,20,17,16
211,5,20,18,15
212,4,20,19,14
213,3,20,19,13
214,2,20,19,12
215,1,20,19,11
216,1,20,19,10
217,2,20,19,9
218,3,20,19,8
219,3,20,18,7
220,4,20,18,6
221,4,20,17,5
222,5,20,16,4
223,6,20,15,3
224,7,20,14,2
225,8,20,13,1
226,9,20,12,1
227,10,20,11,2
228,10,20,10,3
229,11,20,9,4
230,11,20,8,4
231,12,20,7,5
232,13,20,6,6
233,14,20,5,7
234,15,20,4,8
235,16,20,4,9
236,16,20,3,10
237,17,20,2,11
238,17,20,1,12
239,18,20,1,12
240,19,20,2,13
241,20,19,3,14
242,20,19,4,15
243,20,18,5,15
244,20,17,6,14
245,20,16,7,13
246,20,15,7,12
247,20,14,8,11
248,20,13,9,10
249,20,13,10,9
250,20,13,11,8
251,20,13,12,7
252,20,13,13,6
253,20,13,14,5
254,20,13,14,4
255,20,13,15,3
256,20,13,16,2
257,20,13,16,1
258,20,13,16,1
259,20,13,16,2
260,20,13,16,2
261,20,13,16,3
262,20,13,16,4
263,20,13,16,5
264,20,13,16,6
265,20,12,16,6
266,20,11,16,7
267,20,10,16,8
268,20,9,16,9
269,20,8,16,10
270,20,7,16,11
271,20,6,16,11
272,20,5,16,12
273,20,4,16,12
274,20,3,16,13
275,20,2,16,14
276,20,1,16,14
277,20,1,16,15
278,20,2,16,16
279,20,2,16,17
280,20,3,16,18
281,20,3,16,18
282,20,4,15,18
283,20,4,14,18
284,20,5,13,18
285,20,6,12,18
286,20,7,11,18
287,20,8,10,18
288,20,9,9,18
289,20,10,8,18
290,20,10,7,18
291,20,11,6,18
292,20,11,5,18
293,20,11,4,18
294,20,11,3,18
295,20,11,2,18
296,20,11,1,18
297,20,11,1,18
298,20,11,2,18
299,20,10,3,18
300,20,9,4,18
301,20,9,5,18
302,20,8,6,18
303,20,7,7,18
304,20,6,8,18
305,20,5,9,18
306,20,4,9,18
307,20,3,10,18
308,20,2,10,18
309,20,1,11,18
310,20,1,12,17
311,20,2,13,16
312,20,2,14,15
313,20,3,14,14
314,20,4,15,13
315,20,5,16,12
316,20,6,17,11
317,20,7,18,10
318,20,8,18,9
319,20,8,18,8
320,20,9,18,8
321,20,10,18,7
322,20,10,18,6
323,20,11,18,5
324,20,11,18,4
325,20,12,18,3
326,20,13,18,2
327,20,14,18,1
328,20,15,18,1
329,20,16,18,2
330,20,17,18,3
331,20,18,18,4
332,20,19,18,5
333,20,20,17,6
334,20,20,16,7
335,20,20,15,8
336,20,20,14,8
337,20,20,13,9
338,20,20,12,10
339,20,20,11,10
340,20,20,10,9
341,20,20,9,8
342,20,20,8,7
343,20,20,7,6
344,20,20,6,5
345,20,20,6,4
346,20,20,5,3
347,20,20,4,2
348,20,20,3,1
349,20,20,2,1
350,20,20,1,2
351,20,20,1,3
352,19,20,2,4
353,18,20,3,5
354,17,20,3,6
355,16,20,4,7
356,15,20,4,7
357,15,20,5,8
358,14,19,6,9
359,13,18,6,10
360,12,17,7,10
361,11,16,8,11
362,10,16,9,12
363,9,15,10,13
364,8,14,11,14
365,7,13,12,15
366,6,12,13,16
367,5,11,14,16
368,4,10,15,17
369,3,9,16,18
370,2,8,17,19
371,1,7,17,19
372,1,6,17,19
373,2,5,17,19
374,3,4,17,19
375,4,3,17,19
376,5,2,17,19
377,5,1,17,19
378,6,1,17,19
379,7,2,17,19
380,8,3,16,19
381,9,4,15,19
382,9,5,14,19
383,10,6,13,19
384,11,7,12,19
385,12,8,11,19
386,13,9,10,19
387,14,10,9,19
388,14,11,8,19
389,15,12,7,19
390,16,12,6,19
391,16,13,5,19
392,17,13,4,19
393,18,12,4,19
394,18,11,3,19
395,19,10,2,19
396,20,10,1,19
397,20,9,1,19
398,20,8,2,19
399,20,7,3,19
400,20,6,4,19
401,20,5,4,19
402,20,4,5,19
403,20,3,5,19
404,20,2,6,19
405,20,1,7,19
406,20,1,7,19
407,20,2,8,19
408,20,3,9,18
409,20,4,10,17
410,20,5,11,16
411,20,5,11,15
412,20,6,12,14
413,20,7,12,13
414,20,7,13,12
415,20,8,13,11
416,20,9,14,10
417,20,10,15,9
418,20,11,16,9
419,20,12,17,8
420,20,13,18,7
421,20,14,19,6
422,20,15,20,5
423,20,16,20,4
424,19,17,20,3
425,19,18,20,2
426,20,19,20,1
427,20,19,20,1
428,20,19,20,2
429,20,19,20,2
430,20,19,20,3
431,19,18,20,4
432,18,17,20,5
433,17,16,20,6
434,16,15,20,7
435,15,14,20,8
436,14,13,20,9
437,13,12,20,9
438,12,11,20,10
439,11,10,20,10
440,10,9,20,11
441,9,8,20,11
442,8,7,20,12
443,7,6,19,13
444,6,5,18,14
445,5,4,17,15
446,4,3,16,16
447,3,2,15,17
448,2,1,15,17
449,1,1,14,18
450,1,2,13,19
451,2,3,12,20
452,3,4,11,20
453,4,4,10,20
454,5,5,9,20
455,6,5,8,20
456,6,6,7,20
457,7,7,6,20
458,8,8,5,20
459,9,9,4,20
460,10,10,3,20
461,11,11,2,20
462,11,12,1,20
463,12,13,1,20
464,13,14,1,20
465,13,15,1,20
466,14,15,1,20
467,15,16,1,20
468,16,17,1,20
469,17,17,1,20
470,18,17,1,20
471,19,17,1,20
472,20,17,1,20
473,20,17,1,20
