time,id,source,dest
0,p0001,1,18
3,p0002,1,17
3,p0003,1,14
9,p0004,1,6
9,p0005,1,16
12,p0006,1,7
13,p0007,1,19
14,p0008,1,8
15,p0009,1,7
15,p0010,1,10
18,p0011,1,12
22,p0012,1,7
24,p0013,1,14
26,p0014,1,2
28,p0015,1,5
29,p0016,1,18
29,p0017,1,16
29,p0018,1,13
30,p0019,1,4
36,p0020,1,11
40,p0021,1,19
40,p0022,1,3
42,p0023,1,15
44,p0024,1,8
44,p0025,1,20
45,p0026,1,15
45,p0027,1,3
46,p0028,1,7
47,p0029,1,12
53,p0030,1,4
53,p0031,1,18
53,p0032,1,18
55,p0033,1,11
55,p0034,1,10
56,p0035,1,11
57,p0036,1,2
59,p0037,1,11
60,p0038,1,13
63,p0039,1,7
64,p0040,1,18
64,p0041,1,7
67,p0042,1,15
69,p0043,1,15
72,p0044,1,8
75,p0045,1,3
76,p0046,1,5
76,p0047,1,7
81,p0048,1,13
87,p0049,1,11
92,p0050,1,19
92,p0051,1,6
99,p0052,1,12
101,p0053,1,20
106,p0054,1,7
107,p0055,1,17
110,p0056,1,6
113,p0057,1,6
114,p0058,1,10
119,p0059,1,17
119,p0060,1,5
123,p0061,1,2
126,p0062,1,10
128,p0063,1,8
130,p0064,1,17
131,p0065,1,8
131,p0066,1,16
132,p0067,1,15
134,p0068,1,7
141,p0069,1,4
142,p0070,1,15
143,p0071,1,9
143,p0072,1,5
143,p0073,1,6
144,p0074,1,7
144,p0075,1,7
148,p0076,1,20
