time,id,source,dest
7,p0001,17,1
11,p0002,18,1
14,p0003,3,12
15,p0004,14,1
16,p0005,20,1
18,p0006,8,1
18,p0007,15,1
19,p0008,14,1
25,p0009,7,1
26,p0010,20,1
28,p0011,20,1
36,p0012,15,1
37,p0013,3,1
41,p0014,3,1
51,p0015,14,15
58,p0016,9,1
59,p0017,11,1
72,p0018,1,3
73,p0019,16,1
78,p0020,14,1
80,p0021,18,1
80,p0022,10,1
84,p0023,12,1
87,p0024,8,1
87,p0025,16,1
89,p0026,12,7
90,p0027,4,1
91,p0028,11,1
93,p0029,11,1
96,p0030,1,18
98,p0031,18,1
98,p0032,19,12
99,p0033,5,10
99,p0034,1,18
100,p0035,1,5
100,p0036,11,1
100,p0037,2,1
103,p0038,10,1
104,p0039,3,1
108,p0040,6,1
109,p0041,14,1
116,p0042,1,6
121,p0043,7,1
131,p0044,1,7
138,p0045,12,1
140,p0046,19,1
143,p0047,2,1
144,p0048,10,1
146,p0049,18,1
147,p0050,20,1
149,p0051,9,1
150,p0052,1,5
153,p0053,2,1
154,p0054,11,1
156,p0055,18,1
163,p0056,1,7
166,p0057,14,1
167,p0058,14,19
169,p0059,20,1
169,p0060,18,1
169,p0061,6,1
171,p0062,1,17
172,p0063,7,1
174,p0064,9,1
175,p0065,15,1
178,p0066,14,1
178,p0067,20,1
181,p0068,17,8
183,p0069,17,1
184,p0070,3,1
188,p0071,10,9
189,p0072,3,1
189,p0073,10,1
194,p0074,11,1
197,p0075,1,12
202,p0076,5,1
203,p0077,16,1
204,p0078,13,1
204,p0079,13,1
205,p0080,10,1
207,p0081,18,1
211,p0082,7,1
213,p0083,16,1
215,p0084,15,1
222,p0085,14,1
226,p0086,9,1
227,p0087,14,1
229,p0088,5,1
234,p0089,20,1
236,p0090,20,1
238,p0091,7,1
242,p0092,15,1
243,p0093,20,1
247,p0094,2,1
249,p0095,9,1
260,p0096,3,1
260,p0097,1,9
267,p0098,3,1
268,p0099,8,1
269,p0100,17,1
269,p0101,3,1
271,p0102,17,1
272,p0103,17,1
275,p0104,3,1
276,p0105,18,1
279,p0106,16,1
279,p0107,7,1
292,p0108,14,1
294,p0109,8,1
294,p0110,5,1
298,p0111,16,1
299,p0112,2,1
299,p0113,13,1
