time,id,source,dest
6,p0001,9,19
12,p0002,10,8
15,p0003,13,4
22,p0004,11,2
23,p0005,18,8
37,p0006,8,17
43,p0007,9,11
52,p0008,2,13
52,p0009,6,16
53,p0010,4,12
55,p0011,7,13
61,p0012,8,16
62,p0013,7,6
70,p0014,8,10
86,p0015,20,14
87,p0016,3,18
90,p0017,7,13
93,p0018,8,11
97,p0019,8,3
102,p0020,16,18
104,p0021,7,2
112,p0022,19,17
113,p0023,5,18
119,p0024,13,4
127,p0025,13,19
128,p0026,16,4
130,p0027,17,15
137,p0028,2,8
149,p0029,12,20
150,p0030,11,19
163,p0031,13,4
166,p0032,7,12
167,p0033,4,14
169,p0034,17,4
171,p0035,9,12
172,p0036,9,18
178,p0037,12,11
178,p0038,20,2
180,p0039,13,15
181,p0040,4,17
182,p0041,4,11
182,p0042,17,4
182,p0043,9,4
184,p0044,19,20
193,p0045,7,6
195,p0046,19,13
205,p0047,11,15
210,p0048,6,4
220,p0049,14,12
226,p0050,15,3
240,p0051,17,13
241,p0052,18,20
251,p0053,4,10
260,p0054,11,15
276,p0055,15,12
287,p0056,8,11
289,p0057,12,2
291,p0058,5,6
294,p0059,4,8
295,p0060,7,9
302,p0061,3,4
303,p0062,3,11
327,p0063,19,8
334,p0064,7,6
334,p0065,16,13
345,p0066,18,3
365,p0067,19,3
365,p0068,13,8
377,p0069,6,20
381,p0070,11,19
383,p0071,2,14
383,p0072,13,4
397,p0073,18,15
407,p0074,18,12
407,p0075,6,5
417,p0076,16,9
418,p0077,20,19
421,p0078,20,16
422,p0079,11,13
427,p0080,9,13
431,p0081,3,2
432,p0082,9,14
433,p0083,16,15
440,p0084,19,9
441,p0085,6,2
