time,id,source,dest
0,p0001,1,7
0,p0002,11,1
5,p0003,18,1
6,p0004,1,10
7,p0005,14,16
7,p0006,18,1
17,p0007,1,18
18,p0008,13,1
20,p0009,14,17
26,p0010,16,1
32,p0011,10,1
32,p0012,17,1
34,p0013,18,1
38,p0014,1,4
39,p0015,1,8
40,p0016,3,1
43,p0017,10,1
46,p0018,3,1
54,p0019,1,7
55,p0020,1,20
57,p0021,1,13
58,p0022,11,1
62,p0023,14,6
69,p0024,14,1
72,p0025,1,15
75,p0026,1,6
80,p0027,1,10
80,p0028,1,9
80,p0029,13,1
99,p0030,1,18
99,p0031,1,20
105,p0032,5,1
108,p0033,1,15
111,p0034,1,16
115,p0035,1,2
117,p0036,8,1
123,p0037,1,12
125,p0038,1,17
126,p0039,13,1
127,p0040,1,17
130,p0041,11,1
130,p0042,1,7
135,p0043,5,1
139,p0044,3,1
149,p0045,1,18
154,p0046,13,1
155,p0047,1,16
157,p0048,14,1
162,p0049,19,1
164,p0050,9,1
167,p0051,2,1
170,p0052,1,5
172,p0053,8,1
173,p0054,8,1
175,p0055,6,1
182,p0056,19,4
182,p0057,17,1
183,p0058,16,1
183,p0059,1,4
186,p0060,10,6
189,p0061,1,11
191,p0062,14,1
203,p0063,18,1
204,p0064,14,1
206,p0065,4,1
212,p0066,14,1
213,p0067,1,12
218,p0068,10,1
218,p0069,1,5
219,p0070,13,1
226,p0071,1,18
228,p0072,1,11
235,p0073,1,7
238,p0074,1,4
239,p0075,1,19
239,p0076,1,14
242,p0077,1,17
255,p0078,1,4
257,p0079,5,1
259,p0080,1,3
264,p0081,19,1
272,p0082,5,1
273,p0083,4,15
275,p0084,1,13
279,p0085,16,1
281,p0086,19,1
288,p0087,9,1
299,p0088,7,1
299,p0089,6,1
307,p0090,17,1
317,p0091,1,3
320,p0092,3,1
321,p0093,1,6
329,p0094,1,8
329,p0095,1,12
329,p0096,10,1
330,p0097,1,15
334,p0098,2,1
340,p0099,7,1
341,p0100,13,1
347,p0101,1,4
350,p0102,20,1
351,p0103,1,8
353,p0104,2,1
362,p0105,6,1
365,p0106,16,1
366,p0107,9,1
369,p0108,12,1
369,p0109,14,1
379,p0110,14,1
384,p0111,2,1
392,p0112,9,1
402,p0113,6,1
408,p0114,1,5
411,p0115,10,18
412,p0116,2,4
414,p0117,19,1
416,p0118,15,1
422,p0119,1,7
424,p0120,1,9
426,p0121,4,1
432,p0122,1,18
436,p0123,1,16
437,p0124,7,19
438,p0125,16,1
438,p0126,1,6
439,p0127,1,7
440,p0128,10,1
441,p0129,1,15
444,p0130,2,1
446,p0131,17,10
