time,id,source,dest
1,p0001,1,17
2,p0002,1,8
5,p0003,1,2
8,p0004,1,12
12,p0005,1,15
13,p0006,1,17
17,p0007,1,19
17,p0008,5,1
19,p0009,1,18
19,p0010,15,1
21,p0011,1,17
22,p0012,1,3
24,p0013,1,13
31,p0014,1,17
32,p0015,1,20
39,p0016,1,13
40,p0017,1,10
43,p0018,18,1
44,p0019,1,15
45,p0020,1,19
59,p0021,1,10
61,p0022,16,1
63,p0023,1,7
70,p0024,1,17
74,p0025,1,18
75,p0026,9,2
75,p0027,1,3
76,p0028,1,15
79,p0029,1,2
79,p0030,1,20
80,p0031,1,11
86,p0032,1,20
89,p0033,1,20
91,p0034,1,3
91,p0035,1,13
94,p0036,1,14
98,p0037,1,12
98,p0038,1,20
99,p0039,1,5
100,p0040,19,1
100,p0041,1,19
102,p0042,1,19
104,p0043,1,13
108,p0044,1,20
108,p0045,1,5
112,p0046,1,5
114,p0047,1,9
116,p0048,1,19
117,p0049,1,3
118,p0050,1,4
120,p0051,1,20
125,p0052,14,1
126,p0053,1,19
133,p0054,1,16
141,p0055,17,1
149,p0056,1,12
150,p0057,1,12
152,p0058,9,1
166,p0059,6,1
168,p0060,1,7
172,p0061,1,11
176,p0062,1,19
177,p0063,1,7
181,p0064,1,16
182,p0065,1,19
196,p0066,1,4
204,p0067,1,17
205,p0068,1,10
206,p0069,18,1
210,p0070,1,11
211,p0071,1,16
213,p0072,1,10
213,p0073,1,20
213,p0074,1,3
218,p0075,18,4
219,p0076,1,4
220,p0077,1,4
222,p0078,1,15
222,p0079,1,12
229,p0080,1,14
230,p0081,1,16
233,p0082,1,7
240,p0083,19,13
242,p0084,1,14
244,p0085,1,2
244,p0086,1,6
247,p0087,1,18
250,p0088,1,12
251,p0089,1,14
254,p0090,1,18
256,p0091,1,11
264,p0092,1,4
266,p0093,1,2
270,p0094,1,2
270,p0095,1,10
271,p0096,1,11
273,p0097,1,3
281,p0098,1,10
285,p0099,1,18
291,p0100,1,9
291,p0101,1,14
293,p0102,1,9
298,p0103,9,1
298,p0104,1,8
300,p0105,1,20
301,p0106,1,10
304,p0107,1,11
305,p0108,1,11
309,p0109,1,2
309,p0110,8,1
313,p0111,1,10
322,p0112,1,8
332,p0113,1,7
332,p0114,6,1
333,p0115,1,19
338,p0116,1,6
338,p0117,1,10
339,p0118,1,17
341,p0119,1,16
344,p0120,1,3
346,p0121,1,19
348,p0122,1,19
348,p0123,1,4
349,p0124,1,4
351,p0125,15,1
352,p0126,1,18
355,p0127,1,16
357,p0128,16,1
361,p0129,1,14
364,p0130,1,5
365,p0131,1,9
368,p0132,1,20
371,p0133,1,20
374,p0134,1,13
374,p0135,1,12
379,p0136,1,11
382,p0137,1,5
384,p0138,1,4
389,p0139,4,1
390,p0140,1,20
390,p0141,10,1
391,p0142,1,13
392,p0143,1,12
392,p0144,1,7
398,p0145,1,19
398,p0146,1,5
403,p0147,1,7
407,p0148,1,9
408,p0149,9,1
412,p0150,1,10
412,p0151,1,2
413,p0152,1,17
420,p0153,2,20
423,p0154,19,20
426,p0155,1,20
426,p0156,1,11
430,p0157,1,15
430,p0158,1,20
435,p0159,1,4
436,p0160,1,13
438,p0161,1,5
442,p0162,1,11
442,p0163,15,1
445,p0164,1,17
447,p0165,1,4
447,p0166,1,6
