time,id,source,dest
1,p0001,1,4
3,p0002,1,2
8,p0003,1,2
12,p0004,1,5
13,p0005,1,14
18,p0006,1,6
24,p0007,1,16
27,p0008,1,5
38,p0009,19,1
46,p0010,1,7
46,p0011,2,1
48,p0012,1,14
63,p0013,1,4
65,p0014,1,5
66,p0015,2,18
68,p0016,20,7
70,p0017,1,9
79,p0018,1,14
80,p0019,1,3
83,p0020,1,2
85,p0021,18,8
95,p0022,1,4
97,p0023,12,1
100,p0024,1,8
100,p0025,1,14
101,p0026,1,14
101,p0027,1,18
102,p0028,1,20
107,p0029,1,10
108,p0030,1,11
108,p0031,1,18
110,p0032,1,9
111,p0033,1,18
111,p0034,1,13
120,p0035,1,10
123,p0036,1,4
123,p0037,1,3
123,p0038,1,4
124,p0039,1,4
125,p0040,1,12
127,p0041,13,1
127,p0042,1,7
131,p0043,1,11
132,p0044,1,3
134,p0045,1,12
139,p0046,1,6
149,p0047,1,13
151,p0048,1,18
154,p0049,1,18
154,p0050,1,18
158,p0051,1,5
161,p0052,1,14
170,p0053,1,5
173,p0054,5,13
173,p0055,1,17
174,p0056,1,20
177,p0057,1,3
178,p0058,1,12
180,p0059,1,17
184,p0060,1,20
192,p0061,1,5
199,p0062,1,3
201,p0063,1,14
203,p0064,1,3
205,p0065,1,2
206,p0066,1,11
208,p0067,15,1
210,p0068,1,8
210,p0069,1,15
211,p0070,1,6
213,p0071,1,15
233,p0072,17,1
235,p0073,15,1
238,p0074,13,1
243,p0075,1,9
244,p0076,1,8
247,p0077,1,20
251,p0078,1,5
251,p0079,1,16
255,p0080,2,1
256,p0081,1,13
256,p0082,1,20
264,p0083,1,12
265,p0084,10,3
268,p0085,1,3
274,p0086,1,18
275,p0087,1,11
277,p0088,1,7
279,p0089,13,19
282,p0090,1,17
298,p0091,1,5
305,p0092,15,17
326,p0093,2,13
327,p0094,18,12
330,p0095,2,6
331,p0096,7,6
337,p0097,15,12
340,p0098,5,2
346,p0099,1,7
349,p0100,1,5
352,p0101,18,20
355,p0102,18,9
364,p0103,18,7
364,p0104,12,11
371,p0105,19,8
381,p0106,6,14
383,p0107,19,12
386,p0108,1,11
394,p0109,8,2
401,p0110,20,8
405,p0111,15,18
435,p0112,9,1
462,p0113,7,15
474,p0114,8,19
494,p0115,1,10
508,p0116,5,7
554,p0117,16,17
561,p0118,1,2
573,p0119,3,19
597,p0120,19,1
603,p0121,16,1
603,p0122,1,8
603,p0123,4,1
607,p0124,6,18
609,p0125,15,1
613,p0126,1,13
616,p0127,18,1
619,p0128,1,10
621,p0129,1,12
622,p0130,3,1
629,p0131,13,1
631,p0132,1,20
635,p0133,14,1
642,p0134,1,18
643,p0135,15,1
644,p0136,1,7
651,p0137,6,1
651,p0138,1,2
655,p0139,12,1
655,p0140,1,19
656,p0141,14,1
659,p0142,14,9
665,p0143,1,13
667,p0144,1,3
669,p0145,9,1
672,p0146,14,1
675,p0147,8,1
679,p0148,6,14
680,p0149,1,4
682,p0150,1,19
687,p0151,13,1
689,p0152,17,1
692,p0153,1,6
693,p0154,1,2
698,p0155,17,1
698,p0156,1,18
699,p0157,8,1
699,p0158,15,1
703,p0159,6,1
705,p0160,11,1
706,p0161,9,1
707,p0162,1,19
708,p0163,1,7
712,p0164,9,1
717,p0165,1,3
717,p0166,1,17
720,p0167,1,11
723,p0168,4,9
725,p0169,1,2
732,p0170,1,2
736,p0171,1,15
741,p0172,19,1
752,p0173,15,1
759,p0174,17,1
771,p0175,1,8
784,p0176,11,20
786,p0177,1,10
786,p0178,6,1
788,p0179,1,11
788,p0180,9,1
791,p0181,1,4
794,p0182,2,1
795,p0183,3,1
795,p0184,4,1
796,p0185,9,8
798,p0186,16,4
809,p0187,1,16
817,p0188,10,1
817,p0189,1,13
819,p0190,14,1
820,p0191,1,15
822,p0192,17,1
823,p0193,1,8
825,p0194,1,8
830,p0195,12,1
833,p0196,1,19
835,p0197,13,1
840,p0198,19,1
841,p0199,1,17
843,p0200,1,13
843,p0201,19,1
846,p0202,1,3
848,p0203,19,1
848,p0204,19,13
850,p0205,1,10
850,p0206,1,9
851,p0207,18,1
856,p0208,20,1
859,p0209,1,8
864,p0210,15,1
866,p0211,7,1
868,p0212,5,1
872,p0213,13,1
874,p0214,1,19
875,p0215,4,1
876,p0216,1,17
879,p0217,1,12
882,p0218,16,1
882,p0219,8,6
888,p0220,14,1
898,p0221,1,16
917,p0222,13,4
970,p0223,14,11
985,p0224,2,5
986,p0225,10,18
993,p0226,18,14
1023,p0227,7,3
1028,p0228,3,1
1033,p0229,1,6
