time,id,source,dest
0,p0001,1,2
0,p0002,1,39
2,p0003,19,1
3,p0004,36,37
4,p0005,1,48
6,p0006,1,7
6,p0007,1,28
7,p0008,1,14
8,p0009,1,14
8,p0010,25,1
10,p0011,1,46
11,p0012,42,25
16,p0013,1,40
17,p0014,1,32
19,p0015,1,14
19,p0016,3,1
20,p0017,1,41
25,p0018,1,49
26,p0019,1,7
27,p0020,6,1
27,p0021,1,32
27,p0022,1,28
28,p0023,1,30
29,p0024,1,3
30,p0025,14,1
33,p0026,1,28
34,p0027,1,32
35,p0028,1,42
36,p0029,1,41
38,p0030,1,33
39,p0031,37,1
44,p0032,25,1
45,p0033,11,20
45,p0034,1,29
46,p0035,1,16
46,p0036,1,25
47,p0037,1,4
47,p0038,1,8
48,p0039,1,48
49,p0040,1,7
49,p0041,1,42
50,p0042,1,42
50,p0043,1,14
50,p0044,30,33
51,p0045,1,47
52,p0046,1,25
54,p0047,19,20
55,p0048,4,48
57,p0049,1,13
57,p0050,1,4
59,p0051,1,48
59,p0052,1,27
59,p0053,1,31
59,p0054,42,1
62,p0055,1,11
64,p0056,16,17
65,p0057,1,50
65,p0058,1,17
66,p0059,26,1
72,p0060,43,1
72,p0061,1,49
74,p0062,1,26
74,p0063,1,2
76,p0064,8,1
77,p0065,1,16
78,p0066,1,20
81,p0067,30,9
82,p0068,1,3
82,p0069,45,1
83,p0070,18,1
86,p0071,1,18
86,p0072,1,48
86,p0073,47,1
87,p0074,1,39
88,p0075,1,9
90,p0076,1,23
92,p0077,1,2
97,p0078,1,10
100,p0079,1,38
101,p0080,18,10
104,p0081,1,8
105,p0082,1,39
105,p0083,1,33
106,p0084,1,32
108,p0085,31,1
109,p0086,1,10
109,p0087,1,39
110,p0088,1,21
113,p0089,1,14
116,p0090,35,36
116,p0091,33,1
117,p0092,26,1
117,p0093,43,45
118,p0094,1,9
119,p0095,34,35
121,p0096,44,51
121,p0097,1,24
123,p0098,16,43
123,p0099,1,32
124,p0100,1,41
126,p0101,1,11
127,p0102,1,43
127,p0103,1,42
127,p0104,1,5
129,p0105,23,8
130,p0106,25,1
130,p0107,1,32
131,p0108,25,2
131,p0109,10,46
131,p0110,1,18
131,p0111,1,9
134,p0112,1,36
134,p0113,20,1
135,p0114,1,47
136,p0115,1,41
137,p0116,1,18
137,p0117,1,4
139,p0118,1,19
139,p0119,46,1
140,p0120,12,1
141,p0121,24,39
144,p0122,1,37
145,p0123,29,1
147,p0124,1,16
148,p0125,1,35
148,p0126,1,19
149,p0127,49,1
151,p0128,1,19
151,p0129,1,34
153,p0130,1,9
157,p0131,1,47
160,p0132,20,1
160,p0133,30,1
161,p0134,1,5
161,p0135,36,1
162,p0136,43,1
163,p0137,1,18
164,p0138,1,27
167,p0139,15,41
167,p0140,1,28
167,p0141,32,42
168,p0142,31,14
169,p0143,1,10
171,p0144,19,1
172,p0145,1,16
173,p0146,1,38
174,p0147,1,33
174,p0148,1,29
177,p0149,28,43
178,p0150,1,32
181,p0151,1,31
182,p0152,1,33
184,p0153,1,42
184,p0154,1,48
185,p0155,1,13
185,p0156,1,6
187,p0157,16,1
188,p0158,40,1
189,p0159,26,25
190,p0160,1,21
192,p0161,1,15
196,p0162,1,32
201,p0163,1,32
201,p0164,1,25
202,p0165,49,1
202,p0166,37,1
206,p0167,1,3
206,p0168,42,6
207,p0169,1,14
208,p0170,1,38
211,p0171,51,1
212,p0172,1,38
214,p0173,1,34
215,p0174,1,36
215,p0175,1,40
216,p0176,40,36
217,p0177,20,1
217,p0178,1,46
217,p0179,1,4
218,p0180,1,49
220,p0181,27,1
220,p0182,1,35
224,p0183,1,34
224,p0184,1,37
227,p0185,1,15
228,p0186,37,4
229,p0187,1,20
230,p0188,1,51
231,p0189,1,49
232,p0190,39,41
233,p0191,1,15
236,p0192,38,51
236,p0193,1,38
237,p0194,1,37
238,p0195,1,12
238,p0196,1,40
241,p0197,1,37
244,p0198,1,27
246,p0199,1,29
248,p0200,1,40
249,p0201,29,1
250,p0202,1,30
252,p0203,1,6
255,p0204,1,36
257,p0205,1,30
257,p0206,1,47
258,p0207,1,2
258,p0208,1,44
259,p0209,30,26
259,p0210,1,37
261,p0211,1,42
261,p0212,1,49
262,p0213,1,42
264,p0214,1,42
265,p0215,19,28
265,p0216,1,22
270,p0217,1,47
272,p0218,34,1
279,p0219,39,1
281,p0220,1,51
283,p0221,1,30
283,p0222,41,29
285,p0223,1,40
287,p0224,1,2
287,p0225,1,21
287,p0226,1,2
290,p0227,24,1
292,p0228,1,28
293,p0229,1,9
293,p0230,1,29
296,p0231,47,9
