time,id,source,dest
2,p0001,1,25
3,p0002,1,28
3,p0003,1,7
4,p0004,1,16
5,p0005,1,39
7,p0006,20,1
9,p0007,1,45
11,p0008,1,37
12,p0009,1,33
13,p0010,1,39
14,p0011,1,13
15,p0012,1,35
16,p0013,1,40
17,p0014,1,50
19,p0015,6,1
20,p0016,22,1
23,p0017,1,7
24,p0018,1,5
25,p0019,1,45
26,p0020,1,44
28,p0021,1,33
30,p0022,1,27
31,p0023,1,27
32,p0024,37,1
36,p0025,1,16
36,p0026,1,2
38,p0027,1,28
39,p0028,1,10
40,p0029,1,45
41,p0030,45,1
42,p0031,1,8
46,p0032,1,40
53,p0033,1,24
53,p0034,1,32
55,p0035,1,7
55,p0036,1,49
58,p0037,1,35
60,p0038,1,43
60,p0039,46,1
61,p0040,24,1
62,p0041,1,23
63,p0042,1,50
64,p0043,1,35
64,p0044,1,48
64,p0045,1,3
65,p0046,1,40
66,p0047,24,1
67,p0048,1,16
71,p0049,24,1
71,p0050,1,7
72,p0051,1,47
73,p0052,1,42
75,p0053,1,7
75,p0054,1,12
76,p0055,1,31
77,p0056,32,1
78,p0057,1,10
80,p0058,1,10
80,p0059,1,14
81,p0060,1,20
82,p0061,1,36
85,p0062,1,39
86,p0063,34,1
89,p0064,1,40
91,p0065,1,48
94,p0066,1,51
96,p0067,1,51
100,p0068,1,34
101,p0069,1,34
102,p0070,46,1
103,p0071,37,1
104,p0072,1,28
110,p0073,1,47
110,p0074,1,25
112,p0075,27,1
112,p0076,12,1
113,p0077,1,34
113,p0078,1,28
116,p0079,1,30
117,p0080,1,20
118,p0081,16,1
119,p0082,1,4
120,p0083,1,29
121,p0084,1,34
121,p0085,1,46
121,p0086,1,19
123,p0087,1,3
124,p0088,6,1
124,p0089,1,9
127,p0090,1,35
127,p0091,1,9
128,p0092,1,21
129,p0093,1,30
130,p0094,1,3
131,p0095,1,34
132,p0096,1,30
134,p0097,1,27
135,p0098,1,16
137,p0099,1,24
137,p0100,10,1
139,p0101,1,44
139,p0102,34,1
140,p0103,1,20
147,p0104,1,21
153,p0105,1,7
161,p0106,1,44
162,p0107,1,48
162,p0108,11,1
164,p0109,47,1
165,p0110,10,1
165,p0111,50,1
166,p0112,45,1
167,p0113,1,16
167,p0114,1,4
171,p0115,1,42
172,p0116,1,31
173,p0117,1,44
173,p0118,1,49
174,p0119,1,18
176,p0120,1,31
177,p0121,1,45
180,p0122,1,23
182,p0123,1,2
185,p0124,1,33
187,p0125,1,9
188,p0126,1,32
188,p0127,1,31
190,p0128,15,1
190,p0129,1,7
190,p0130,1,35
193,p0131,1,9
194,p0132,33,1
197,p0133,1,28
197,p0134,1,22
203,p0135,1,49
207,p0136,1,19
207,p0137,19,1
209,p0138,17,1
210,p0139,1,51
212,p0140,37,1
212,p0141,1,48
212,p0142,1,48
214,p0143,33,1
216,p0144,1,23
219,p0145,1,17
221,p0146,1,12
223,p0147,1,30
224,p0148,1,14
224,p0149,1,13
229,p0150,1,28
229,p0151,1,15
234,p0152,1,42
235,p0153,26,1
235,p0154,1,30
238,p0155,1,50
238,p0156,32,1
239,p0157,1,35
240,p0158,1,11
240,p0159,1,45
242,p0160,1,51
242,p0161,1,10
242,p0162,1,4
243,p0163,1,18
244,p0164,1,8
246,p0165,1,16
247,p0166,1,31
250,p0167,1,37
252,p0168,1,33
252,p0169,43,1
255,p0170,1,23
255,p0171,1,25
256,p0172,1,49
257,p0173,1,14
259,p0174,1,50
260,p0175,1,41
264,p0176,1,15
264,p0177,1,40
269,p0178,1,35
269,p0179,1,4
269,p0180,1,48
269,p0181,1,25
269,p0182,30,1
274,p0183,15,1
276,p0184,7,1
280,p0185,1,32
283,p0186,1,6
283,p0187,5,1
285,p0188,1,41
285,p0189,1,49
286,p0190,1,2
287,p0191,6,1
291,p0192,1,29
291,p0193,10,1
292,p0194,49,1
294,p0195,1,22
296,p0196,1,27
297,p0197,1,4
299,p0198,1,8
